Global best makespan: 15063.95113438712
Sequence length: 64

Position;Part
1;PartA
2;PartB
3;PartC
4;PartD
5;PartE
6;PartC
7;PartF
8;PartG
9;PartH
10;PartA
11;PartB
12;PartD
13;PartE
14;PartF
15;PartG
16;PartH
17;PartA
18;PartB
19;PartC
20;PartD
21;PartE
22;PartF
23;PartG
24;PartH
25;PartA
26;PartC
27;PartD
28;PartE
29;PartF
30;PartG
31;PartB
32;PartH
33;PartA
34;PartB
35;PartC
36;PartE
37;PartF
38;PartG
39;PartH
40;PartB
41;PartC
42;PartD
43;PartE
44;PartF
45;PartG
46;PartH
47;PartA
48;PartA
49;PartD
50;PartD
51;PartB
52;PartG
53;PartE
54;PartF
55;PartG
56;PartH
57;PartA
58;PartB
59;PartC
60;PartD
61;PartE
62;PartF
63;PartC
64;PartH
