iteration;restart_id;iteration_in_restart;candidate_in_iteration;search_mode;no_improvement_count_before_iteration;parent_sequence_signature;action;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;valid;duplicate_for_same_parent_sequence;recently_rejected_for_same_parent_sequence;diversification_compatible;parse_error;validation_message;resulting_makespan;best_makespan_before;best_makespan_after;global_best_makespan_after;completed_simulations;actual_global_best_makespan;elapsed_optimization_time_sec;delta_vs_best_before;status;llm_time_sec;simulation_time_sec;exited_parts;completion_valid;llm_attempts;retry_reason
1;1;1;1;normal;0;0f63cf6f404e;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;15624.28520901457;16641.404845676683;16641.404845676683;16641.404845676683;2;16641.404845676683;20.0749;-1017.1196366621134;Evaluated;17.8383;2.2279;64;True;1;
1;1;1;2;normal;0;0f63cf6f404e;swap;18;20;;;;;;;;;;;;True;False;False;False;;ok;17394.129398115478;16641.404845676683;16641.404845676683;16641.404845676683;3;16641.404845676683;27.3226;752.7245524387945;Evaluated;4.8222;2.4249;64;True;1;
1;1;1;3;normal;0;0f63cf6f404e;reinsert_block;;;;;;;32;40;16;;;;;True;False;False;True;;ok;16298.825894167576;16641.404845676683;16641.404845676683;16641.404845676683;4;16641.404845676683;34.8498;-342.57895150910736;Evaluated;5.0908;2.4355;64;True;1;
1;1;1;4;normal;0;0f63cf6f404e;move;;;50;49;;;;;;;;;;True;False;False;False;;ok;16187.814598926165;16641.404845676683;16641.404845676683;16641.404845676683;5;16641.404845676683;42.1036;-453.5902467505184;Evaluated;4.8268;2.4259;64;True;1;
1;1;1;5;normal;0;0f63cf6f404e;move;;;15;20;;;;;;;;;;True;False;False;False;;ok;17568.194183114218;16641.404845676683;16641.404845676683;16641.404845676683;6;16641.404845676683;49.3019;926.7893374375344;Evaluated;4.7755;2.4221;64;True;1;
1;1;1;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15624.28520901457;15624.28520901457;6;15624.28520901457;49.3219;;IterationSummary;;;;;;
2;1;2;1;normal;0;457c4bc75f95;move;;;5;10;;;;;;;;;;True;False;False;False;;ok;16641.404845676683;15624.28520901457;15624.28520901457;15624.28520901457;7;15624.28520901457;57.4266;1017.1196366621134;Evaluated;5.666;2.4297;64;True;1;
2;1;2;2;normal;0;457c4bc75f95;swap;17;25;;;;;;;;;;;;True;False;False;False;;ok;15624.28520901457;15624.28520901457;15624.28520901457;15624.28520901457;8;15624.28520901457;64.8143;0.0;Evaluated;5.1471;2.239;64;True;1;
2;1;2;3;normal;0;457c4bc75f95;reinsert_block;;;;;;;35;40;18;;;;;True;False;False;True;;ok;16451.32331261529;15624.28520901457;15624.28520901457;15624.28520901457;9;15624.28520901457;72.7124;827.038103600722;Evaluated;5.4735;2.4221;64;True;1;
2;1;2;4;normal;0;457c4bc75f95;move;;;50;48;;;;;;;;;;True;False;False;False;;ok;15636.61505467081;15624.28520901457;15624.28520901457;15624.28520901457;10;15624.28520901457;80.1416;12.32984565624065;Evaluated;5.2023;2.2261;64;True;1;
2;1;2;5;normal;0;457c4bc75f95;move;;;30;25;;;;;;;;;;True;False;False;False;;ok;18080.87336241174;15624.28520901457;15624.28520901457;15624.28520901457;11;15624.28520901457;88.1552;2456.5881533971715;Evaluated;5.3868;2.6259;64;True;1;
2;1;2;;normal;1;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15624.28520901457;15624.28520901457;11;15624.28520901457;88.1581;;IterationSummary;;;;;;
3;1;3;1;normal;1;457c4bc75f95;move;;;10;5;;;;;;;;;;True;False;False;False;;ok;18200.878935664194;15624.28520901457;15624.28520901457;15624.28520901457;12;15624.28520901457;96.4947;2576.593726649624;Evaluated;5.6998;2.6283;64;True;1;
3;1;3;2;normal;1;457c4bc75f95;swap;18;20;;;;;;;;;;;;True;False;False;False;;ok;17126.839559399566;15624.28520901457;15624.28520901457;15624.28520901457;13;15624.28520901457;103.9945;1502.5543503849967;Evaluated;5.0715;2.4261;64;True;1;
3;1;3;3;normal;1;457c4bc75f95;reinsert_block;;;;;;;32;35;40;;;;;True;False;False;False;;ok;17902.268266856026;15624.28520901457;15624.28520901457;15624.28520901457;14;15624.28520901457;112.8335;2277.9830578414567;Evaluated;6.4132;2.4252;64;True;1;
3;1;3;4;normal;1;457c4bc75f95;move;;;50;49;;;;;;;;;;True;False;False;False;;ok;15645.42963286556;15624.28520901457;15624.28520901457;15624.28520901457;15;15624.28520901457;120.1745;21.14442385099028;Evaluated;5.1164;2.2239;64;True;1;
3;1;3;5;normal;1;457c4bc75f95;move;;;20;15;;;;;;;;;;True;False;False;False;;ok;17140.394312563836;15624.28520901457;15624.28520901457;15624.28520901457;16;15624.28520901457;127.7443;1516.1091035492664;Evaluated;5.1429;2.4242;64;True;1;
3;1;3;;normal;2;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15624.28520901457;15624.28520901457;16;15624.28520901457;127.7461;;IterationSummary;;;;;;
4;1;4;1;normal;2;457c4bc75f95;move;;;8;3;;;;;;;;;;True;False;False;False;;ok;17906.989734677136;15624.28520901457;15624.28520901457;15624.28520901457;17;15624.28520901457;139.1425;2282.704525662566;Evaluated;8.9473;2.4375;64;True;2;duplicate_for_same_parent_sequence
4;1;4;2;normal;2;457c4bc75f95;swap;25;30;;;;;;;;;;;;True;False;False;False;;ok;17863.03391389616;15624.28520901457;15624.28520901457;15624.28520901457;18;15624.28520901457;150.4689;2238.748704881591;Evaluated;8.894;2.4317;64;True;2;duplicate_for_same_parent_sequence
4;1;4;3;normal;2;457c4bc75f95;reinsert_block;;;;;;;40;45;32;;;;;True;False;False;True;;ok;16185.646586616325;15624.28520901457;15624.28520901457;15624.28520901457;19;15624.28520901457;158.335;561.3613776017555;Evaluated;5.4377;2.4276;64;True;1;
4;1;4;4;normal;2;457c4bc75f95;move;;;40;45;;;;;;;;;;True;False;False;False;;ok;15452.7600708035;15624.28520901457;15624.28520901457;15624.28520901457;20;15624.28520901457;172.5962;-171.52513821106913;Evaluated;12.0323;2.2282;64;True;3;duplicate_for_same_parent_sequence
4;1;4;5;normal;2;457c4bc75f95;move;;;25;30;;;;;;;;;;True;False;False;False;;ok;15624.461469062106;15624.28520901457;15624.28520901457;15624.28520901457;21;15624.28520901457;179.9448;0.17626004753583402;Evaluated;5.1205;2.2249;64;True;1;
4;1;4;;normal;0;;;;;;;;;;;;;;;;;;;;;End-of-iteration summary row;;;15452.7600708035;15452.7600708035;21;15452.7600708035;179.9617;;IterationSummary;;;;;;
5;1;5;1;normal;0;dad9cd5460aa;move;;;7;5;;;;;;;;;;True;False;False;False;;ok;17544.371240301167;15452.7600708035;15452.7600708035;15452.7600708035;22;15452.7600708035;187.9906;2091.611169497666;Evaluated;5.5991;2.4232;64;True;1;
5;1;5;2;normal;0;dad9cd5460aa;swap;17;25;;;;;;;;;;;;True;False;False;False;;ok;15452.7600708035;15452.7600708035;15452.7600708035;15452.7600708035;23;15452.7600708035;195.4286;0.0;Evaluated;5.2102;2.2271;64;True;1;
5;1;5;3;normal;0;dad9cd5460aa;reinsert_block;;;;;;;35;40;28;;;;;True;False;False;False;;ok;16530.693620127102;15452.7600708035;15452.7600708035;15452.7600708035;24;15452.7600708035;203.3006;1077.9335493236013;Evaluated;5.4402;2.4284;64;True;1;
5;1;5;4;normal;0;dad9cd5460aa;move;;;50;49;;;;;;;;;;True;False;False;False;;ok;15447.63639663029;15452.7600708035;15452.7600708035;15452.7600708035;25;15452.7600708035;210.5785;-5.12367417321002;Evaluated;5.0427;2.2324;64;True;1;
5;1;5;5;normal;0;dad9cd5460aa;move;;;25;30;;;;;;;;;;True;False;False;False;;ok;15452.463788098661;15452.7600708035;15452.7600708035;15452.7600708035;26;15452.7600708035;217.952;-0.2962827048395411;Evaluated;5.141;2.2293;64;True;1;
