Global best makespan: 14578.586711466914
Random seed: 3591412645
Completed simulations: 3001
Optimization time excluding initial baseline: 1979.9856 s
Sequence length: 64

Position;Part
1;PartC
2;PartF
3;PartA
4;PartC
5;PartH
6;PartD
7;PartE
8;PartB
9;PartH
10;PartA
11;PartG
12;PartC
13;PartE
14;PartG
15;PartA
16;PartD
17;PartF
18;PartH
19;PartF
20;PartD
21;PartD
22;PartB
23;PartG
24;PartE
25;PartG
26;PartE
27;PartC
28;PartG
29;PartA
30;PartB
31;PartF
32;PartF
33;PartB
34;PartH
35;PartB
36;PartB
37;PartC
38;PartC
39;PartF
40;PartH
41;PartD
42;PartA
43;PartH
44;PartE
45;PartA
46;PartH
47;PartD
48;PartC
49;PartH
50;PartF
51;PartG
52;PartE
53;PartB
54;PartC
55;PartG
56;PartB
57;PartG
58;PartE
59;PartD
60;PartD
61;PartA
62;PartF
63;PartA
64;PartE
