evaluation;random_seed;temperature_before;temperature_after;action;move_text;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;current_makespan_before;candidate_makespan;delta_vs_current;acceptance_probability;acceptance_random_draw;accepted;acceptance_reason;current_makespan_after;global_best_makespan_after;new_global_best;completed_simulations;exited_parts;completion_valid;simulation_time_sec;sa_decision_time_sec;inference_time_sec;cumulative_simulation_time_sec;cumulative_sa_decision_time_sec;elapsed_optimization_time_sec;status;error_message;final_best_sequence
1;1609210932;100.0;99.9;reverse;reverse(41 .. 60);;;;;41;60;;;;;;;;16630.57522948563;16739.998397155337;109.42316766970907;0.3347967402924931;0.40983578404590926;False;RejectedWorseCandidate;16630.57522948563;16630.57522948563;False;2;64;True;0.632206;0.000147;0.0;0.632206;0.000147;0.6326;Evaluated;;
2;1609210932;99.9;99.8001;reverse;reverse(8 .. 26);;;;;8;26;;;;;;;;16630.57522948563;16891.83229981044;261.25707032481296;0.07315418886293559;0.001418175440181857;True;AcceptedWorseByTemperature;16891.83229981044;16630.57522948563;False;3;64;True;0.706762;4.9e-05;0.0;1.338968;0.000196;1.3405;Evaluated;;
3;1609210932;99.8001;99.7002999;swap;swap(51, 9);51;9;;;;;;;;;;;;16891.83229981044;17727.918395784687;836.0860959742458;0.00022995939738579483;0.39530468763451254;False;RejectedWorseCandidate;16891.83229981044;16630.57522948563;False;4;64;True;0.637209;8.2e-05;0.0;1.976177;0.000278;1.9791;Evaluated;;
4;1609210932;99.7002999;99.60059960010001;move;move(42 -> 32);;;42;32;;;;;;;;;;16891.83229981044;16800.476376446677;-91.3559233637643;1.0;;True;ImprovedOrEqualCurrentSolution;16800.476376446677;16630.57522948563;False;5;64;True;0.632105;2.8e-05;0.0;2.608282;0.000306;2.6127;Evaluated;;
5;1609210932;99.60059960010001;99.50099900049992;swap_blocks;swap_blocks(43 .. 47, 22 .. 26);;;;;;;;;;43;47;22;26;16800.476376446677;17167.52675091067;367.05037446399365;0.025091590264859995;0.21431828446536905;False;RejectedWorseCandidate;16800.476376446677;16630.57522948563;False;6;64;True;0.650661;0.000146;0.0;3.258943;0.000452;3.2659;Evaluated;;
6;1609210932;99.50099900049992;99.40149800149942;swap;swap(4, 25);4;25;;;;;;;;;;;;16800.476376446677;17537.06689924145;736.5905227947733;0.0006095159130665397;0.4879397675524545;False;RejectedWorseCandidate;16800.476376446677;16630.57522948563;False;7;64;True;0.647422;0.000143;0.0;3.906365;0.000595;3.9158;Evaluated;;
7;1609210932;99.40149800149942;99.30209650349792;swap_blocks;swap_blocks(47 .. 54, 7 .. 14);;;;;;;;;;47;54;7;14;16800.476376446677;16516.442954109036;-284.03342233764124;1.0;;True;ImprovedOrEqualCurrentSolution;16516.442954109036;16516.442954109036;True;8;64;True;0.645792;9.5e-05;0.0;4.552157;0.00069;4.5632;Evaluated;;
8;1609210932;99.30209650349792;99.20279440699443;move;move(27 -> 37);;;27;37;;;;;;;;;;16516.442954109036;16692.407296815538;175.96434270650207;0.16999090399913275;0.7839662299116736;False;RejectedWorseCandidate;16516.442954109036;16516.442954109036;False;9;64;True;0.649465;2.8e-05;0.0;5.201622;0.000718;5.2139;Evaluated;;
9;1609210932;99.20279440699443;99.10359161258744;reverse;reverse(45 .. 61);;;;;45;61;;;;;;;;16516.442954109036;18853.874204339012;2337.4312502299763;5.849082040145538e-11;0.10276398374266993;False;RejectedWorseCandidate;16516.442954109036;16516.442954109036;False;10;64;True;0.650731;0.000112;0.0;5.852353;0.00083;5.867;Evaluated;;
10;1609210932;99.10359161258744;99.00448802097485;reverse;reverse(44 .. 45);;;;;44;45;;;;;;;;16516.442954109036;16801.66427859968;285.2213244906452;0.05624647054474902;0.17750426477369086;False;RejectedWorseCandidate;16516.442954109036;16516.442954109036;False;11;64;True;0.65018;6.5e-05;0.0;6.502534;0.000895;6.5189;Evaluated;;
11;1609210932;99.00448802097485;98.90548353295387;move;move(30 -> 5);;;30;5;;;;;;;;;;16516.442954109036;16833.955867928446;317.51291381940973;0.040475607814999766;0.477582525725865;False;RejectedWorseCandidate;16516.442954109036;16516.442954109036;False;12;64;True;0.657824;0.00012;0.0;7.160358;0.001014;7.1791;Evaluated;;
12;1609210932;98.90548353295387;98.8065780494209;move;move(21 -> 63);;;21;63;;;;;;;;;;16516.442954109036;16725.448728131705;209.00577402266936;0.12085220587072744;0.14976990464551143;False;RejectedWorseCandidate;16516.442954109036;16516.442954109036;False;13;64;True;0.657222;0.000103;0.0;7.81758;0.001118;7.8393;Evaluated;;
13;1609210932;98.8065780494209;98.70777147137149;move;move(42 -> 50);;;42;50;;;;;;;;;;16516.442954109036;16514.6271698486;-1.8157842604341567;1.0;;True;ImprovedOrEqualCurrentSolution;16514.6271698486;16514.6271698486;True;14;64;True;0.658361;0.000104;0.0;8.475941;0.001222;8.5002;Evaluated;;
14;1609210932;98.70777147137149;98.60906369990012;swap;swap(39, 54);39;54;;;;;;;;;;;;16514.6271698486;17615.540482826735;1100.913312978133;1.4328518286977117e-05;0.6328550160209789;False;RejectedWorseCandidate;16514.6271698486;16514.6271698486;False;15;64;True;0.652958;0.000106;0.0;9.128899;0.001328;9.156;Evaluated;;
15;1609210932;98.60906369990012;98.51045463620022;swap;swap(7, 36);7;36;;;;;;;;;;;;16514.6271698486;16958.125234189247;443.4980643406452;0.01113637457485609;0.09435488515859092;False;RejectedWorseCandidate;16514.6271698486;16514.6271698486;False;16;64;True;0.655785;8.2e-05;0.0;9.784684;0.00141;9.8144;Evaluated;;
16;1609210932;98.51045463620022;98.41194418156402;reverse;reverse(33 .. 50);;;;;33;50;;;;;;;;16514.6271698486;16864.674984233243;350.04781438464124;0.028626919446426695;0.2918310707855284;False;RejectedWorseCandidate;16514.6271698486;16514.6271698486;False;17;64;True;0.651838;0.000136;0.0;10.436522;0.001546;10.4692;Evaluated;;
17;1609210932;98.41194418156402;98.31353223738246;swap;swap(15, 58);15;58;;;;;;;;;;;;16514.6271698486;16503.73269730637;-10.894472542233416;1.0;;True;ImprovedOrEqualCurrentSolution;16503.73269730637;16503.73269730637;True;18;64;True;0.658914;0.0001;0.0;11.095435;0.001646;11.1308;Evaluated;;
18;1609210932;98.31353223738246;98.21521870514508;reverse;reverse(32 .. 46);;;;;32;46;;;;;;;;16503.73269730637;17211.356952602324;707.6242552959557;0.0007483586376632223;0.4612636435862185;False;RejectedWorseCandidate;16503.73269730637;16503.73269730637;False;19;64;True;0.659114;0.000269;0.0;11.75455;0.001915;11.7925;Evaluated;;
