Global best makespan: 14523.076614086083
Random seed: 814412307
Completed simulations: 3001
Optimization time excluding initial baseline: 1984.6923 s
Sequence length: 64

Position;Part
1;PartA
2;PartC
3;PartE
4;PartD
5;PartG
6;PartA
7;PartA
8;PartH
9;PartF
10;PartD
11;PartE
12;PartG
13;PartH
14;PartF
15;PartC
16;PartD
17;PartG
18;PartF
19;PartE
20;PartE
21;PartA
22;PartF
23;PartB
24;PartH
25;PartH
26;PartC
27;PartH
28;PartD
29;PartB
30;PartC
31;PartE
32;PartB
33;PartG
34;PartC
35;PartC
36;PartH
37;PartB
38;PartF
39;PartB
40;PartF
41;PartD
42;PartA
43;PartH
44;PartG
45;PartE
46;PartH
47;PartB
48;PartF
49;PartF
50;PartC
51;PartD
52;PartB
53;PartA
54;PartD
55;PartA
56;PartE
57;PartG
58;PartG
59;PartD
60;PartA
61;PartC
62;PartE
63;PartB
64;PartG
