evaluation;random_seed;temperature_before;temperature_after;action;move_text;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;current_makespan_before;candidate_makespan;delta_vs_current;acceptance_probability;acceptance_random_draw;accepted;acceptance_reason;current_makespan_after;global_best_makespan_after;new_global_best;completed_simulations;exited_parts;completion_valid;simulation_time_sec;sa_decision_time_sec;inference_time_sec;cumulative_simulation_time_sec;cumulative_sa_decision_time_sec;elapsed_optimization_time_sec;status;error_message;final_best_sequence
1;814412307;100.0;99.9;move;move(61 -> 26);;;61;26;;;;;;;;;;16625.423888583944;16476.359076197994;-149.06481238595006;1.0;;True;ImprovedOrEqualCurrentSolution;16476.359076197994;16476.359076197994;True;2;64;True;0.62634;3.4e-05;0.0;0.62634;3.4e-05;0.6272;Evaluated;;
2;814412307;99.9;99.8001;reverse;reverse(44 .. 46);;;;;44;46;;;;;;;;16476.359076197994;16387.600755987103;-88.75832021089082;1.0;;True;ImprovedOrEqualCurrentSolution;16387.600755987103;16387.600755987103;True;3;64;True;0.682129;0.000115;0.0;1.308469;0.000149;1.3115;Evaluated;;
3;814412307;99.8001;99.7002999;move;move(40 -> 43);;;40;43;;;;;;;;;;16387.600755987103;16384.30546780569;-3.295288181412616;1.0;;True;ImprovedOrEqualCurrentSolution;16384.30546780569;16384.30546780569;True;4;64;True;0.629792;3.4e-05;0.0;1.938261;0.000182;1.9419;Evaluated;;
4;814412307;99.7002999;99.60059960010001;swap;swap(56, 2);56;2;;;;;;;;;;;;16384.30546780569;16907.270420934005;522.9649531283139;0.005271871215220626;0.14960182519334198;False;RejectedWorseCandidate;16384.30546780569;16384.30546780569;False;5;64;True;0.645624;3.3e-05;0.0;2.583885;0.000215;2.5882;Evaluated;;
5;814412307;99.60059960010001;99.50099900049992;move;move(38 -> 21);;;38;21;;;;;;;;;;16384.30546780569;17051.21406522768;666.9085974219888;0.0012360565821053868;0.40537332118206704;False;RejectedWorseCandidate;16384.30546780569;16384.30546780569;False;6;64;True;0.64184;2.9e-05;0.0;3.225726;0.000244;3.2305;Evaluated;;
6;814412307;99.50099900049992;99.40149800149942;reverse;reverse(52 .. 53);;;;;52;53;;;;;;;;16384.30546780569;15969.365588456725;-414.9398793489654;1.0;;True;ImprovedOrEqualCurrentSolution;15969.365588456725;15969.365588456725;True;7;64;True;0.646631;3.2e-05;0.0;3.872356;0.000276;3.8781;Evaluated;;
7;814412307;99.40149800149942;99.30209650349792;move;move(14 -> 15);;;14;15;;;;;;;;;;15969.365588456725;15970.19796266391;0.8323742071843299;0.9916611033137466;0.37724075613465535;True;AcceptedWorseByTemperature;15970.19796266391;15969.365588456725;False;8;64;True;0.663145;5.3e-05;0.0;4.535501;0.00033;4.5422;Evaluated;;
8;814412307;99.30209650349792;99.20279440699443;move;move(12 -> 41);;;12;41;;;;;;;;;;15970.19796266391;16363.702834607693;393.50487194378366;0.019011626361216852;0.02727086377794552;False;RejectedWorseCandidate;15970.19796266391;15969.365588456725;False;9;64;True;0.640931;3e-05;0.0;5.176432;0.00036;5.1836;Evaluated;;
9;814412307;99.20279440699443;99.10359161258744;move;move(15 -> 31);;;15;31;;;;;;;;;;15970.19796266391;16888.896567242788;918.6986045788781;9.507792198676662e-05;0.03304260659340019;False;RejectedWorseCandidate;15970.19796266391;15969.365588456725;False;10;64;True;0.645214;2.8e-05;0.0;5.821646;0.000388;5.8302;Evaluated;;
10;814412307;99.10359161258744;99.00448802097485;move;move(44 -> 39);;;44;39;;;;;;;;;;15970.19796266391;16250.773296064364;280.57533340045484;0.0589460985084106;0.03094294245641971;True;AcceptedWorseByTemperature;16250.773296064364;15969.365588456725;False;11;64;True;0.653121;9.5e-05;0.0;6.474767;0.000483;6.4863;Evaluated;;
